,Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets,Male,Serious Criminal Case,Crorepati,Graduate or Above
661,Achchha Saeedbhai Yusufbhai,SURAT NORTH,0,5th Pass,607000.0, 975000,BSP,"Rs 6,07,000 ~ 6 Lacs+",1,0,0,0
662,Mahendra Navadiya,SURAT NORTH,2,8th Pass,27322878.0, 0,AAP,"Rs 2,73,22,878 ~ 2 Crore+",1,1,1,0
663,Ashok Patel (Adhevada),SURAT NORTH,1,8th Pass,28832716.0, 3600629,INC,"Rs 2,88,32,716 ~ 2 Crore+",1,0,1,0
664,Kantibhai Himmatbhai Balar,SURAT NORTH,0,Literate,540715015.0, 34942639,BJP,"Rs 54,07,15,015 ~ 54 Crore+",1,0,1,0
665,Vimal Raju Uttpure,SURAT WEST,0,5th Pass,41000.0, 0,BSP,"Rs 41,000 ~ 41 Thou+",0,0,0,0
666,Mohamad Asfaq Iqbal Shekh,SURAT WEST,0,8th Pass,101832.0, 0,IND,"Rs 1,01,832 ~ 1 Lacs+",1,0,0,0
667,Mohammad Umarji Khadakiwala,SURAT WEST,0,8th Pass,295000.0, 0,IND,"Rs 2,95,000 ~ 2 Lacs+",1,0,0,0
668,Farzan Allarakha Meman,SURAT WEST,0,5th Pass,365000.0, 0,IND,"Rs 3,65,000 ~ 3 Lacs+",0,0,0,0
669,Kamalshah Fakir,SURAT WEST,0,5th Pass,440000.0, 0,IND,"Rs 4,40,000 ~ 4 Lacs+",1,0,0,0
670,Mohammed Zakir Nizamuddin Shaikh,SURAT WEST,0,5th Pass,1085000.0, 75000,SP,"Rs 10,85,000 ~ 10 Lacs+",1,0,0,0
671,Sanjay R. Shah (Patva),SURAT WEST,0,8th Pass,3369292.0, 0,INC,"Rs 33,69,292 ~ 33 Lacs+",1,0,0,0
672,Amish Narayanbhai Chunawala,SURAT WEST,0,Graduate,8435000.0, 206000,IND,"Rs 84,35,000 ~ 84 Lacs+",1,0,0,1
673,Moxesh Rameshchandra Sanghavi,SURAT WEST,0,12th Pass,12888247.0, 9909259,AAP,"Rs 1,28,88,247 ~ 1 Crore+",1,0,1,0
674,Purnesh Modi,SURAT WEST,0,Graduate Professional,19838118.0, 3401428,BJP,"Rs 1,98,38,118 ~ 1 Crore+",1,0,1,1
675,Haribhai Rathod,TALAJA,0,10th Pass,62182.0, 0,IND,"Rs 62,182 ~ 62 Thou+",1,0,0,0
676,Karamashi Jabucha,TALAJA,1,8th Pass,266350.0, 0,IND,"Rs 2,66,350 ~ 2 Lacs+",1,0,0,0
677,Kachaliya Nazirbhai,TALAJA,0,5th Pass,915368.0, 0,IND,"Rs 9,15,368 ~ 9 Lacs+",1,0,0,0
678,Anopsinh Gohil,TALAJA,0,Literate,940000.0, 90000,IND,"Rs 9,40,000 ~ 9 Lacs+",1,0,0,0
679,Jayantibhai Makvana,TALAJA,0,8th Pass,1224500.0, 231660,IND,"Rs 12,24,500 ~ 12 Lacs+",1,0,0,0
680,Chauhan Sunilbhai,TALAJA,3,10th Pass,1373400.0, 0,IND,"Rs 13,73,400 ~ 13 Lacs+",1,1,0,0
681,Gautambhai Chauhan,TALAJA,0,10th Pass,4080522.0, 0,BJP,"Rs 40,80,522 ~ 40 Lacs+",1,0,0,0
682,Kanubhai Baraiya,TALAJA,0,Graduate Professional,11084416.0, 430181,INC,"Rs 1,10,84,416 ~ 1 Crore+",1,0,1,1
683,Jilubhai Bhammar,TALAJA,1,Graduate,11215096.0, 3625000,IND,"Rs 1,12,15,096 ~ 1 Crore+",1,0,1,1
684,Laluben Chauhan,TALAJA,0,12th Pass,28739230.0, 2167253,AAP,"Rs 2,87,39,230 ~ 2 Crore+",0,0,1,0
685,Rafai Mahmadsha Ikbalsha,TALALA,0,8th Pass,250000.0, 0,IND,"Rs 2,50,000 ~ 2 Lacs+",1,0,0,0
686,Jayeshbhai Bhagvanbhai Kamaliya,TALALA,0,8th Pass,285000.0, 161000,IND,"Rs 2,85,000 ~ 2 Lacs+",1,0,0,0
687,Daki Jaysukhlal Jadavbhai,TALALA,0,10th Pass,918000.0, 0,IND,"Rs 9,18,000 ~ 9 Lacs+",1,0,0,0
688,Faijal Ibrahimbhai Dhamlot,TALALA,0,12th Pass,1220500.0, 0,IND,"Rs 12,20,500 ~ 12 Lacs+",1,0,0,0
689,Parmar Faridaben Muradbhai,TALALA,0,8th Pass,1645000.0, 0,BSP,"Rs 16,45,000 ~ 16 Lacs+",0,0,0,0
690,Chandpa Karshanbhai Govindbhai,TALALA,0,5th Pass,5040000.0, 435000,IND,"Rs 50,40,000 ~ 50 Lacs+",1,0,0,0
691,Solanki Devendrabhai Kanjibhai,TALALA,0,Graduate Professional,5845748.0, 1760931,AAP,"Rs 58,45,748 ~ 58 Lacs+",1,0,0,1
692,Abdulbhai Ismailbhai Majgul,TALALA,1,5th Pass,6335000.0, 60000,IND,"Rs 63,35,000 ~ 63 Lacs+",1,1,0,0
693,Dodiya Mansingbhai Jesingbhai,TALALA,0,Graduate,74325533.0, 25443049,INC,"Rs 7,43,25,533 ~ 7 Crore+",1,0,1,1
694,Bhagabhai Dhanabhai Barad,TALALA,0,Graduate,124739689.0, 8984847,BJP,"Rs 12,47,39,689 ~ 12 Crore+",1,0,1,1
695,Parmar Shailesh Manubhai,TANKARA,0,12th Pass,175500.0, 0,Vyavastha Parivartan Party,"Rs 1,75,500 ~ 1 Lacs+",1,0,0,0
696,Chanani Mushabhai Abharambhai,TANKARA,0,Illiterate,740000.0, 0,BSP,"Rs 7,40,000 ~ 7 Lacs+",1,0,0,0
697,Sanjay Bhatasana (Patel),TANKARA,0,8th Pass,23895239.0, 22184611,AAP,"Rs 2,38,95,239 ~ 2 Crore+",1,0,1,0
698,Durlabhjibhai Harakhjibhai Dethariya,TANKARA,0,10th Pass,53138832.0, 15127538,BJP,"Rs 5,31,38,832 ~ 5 Crore+",1,0,1,0
699,Kagathara Lalitbhai,TANKARA,0,Graduate,101311764.0, 74639088,INC,"Rs 10,13,11,764 ~ 10 Crore+",1,0,1,1
700,Faimida Yunus Shaikh,UDHNA,0,Illiterate,54000.0, 1772,IND,"Rs 54,000 ~ 54 Thou+",0,0,0,0
701,Ejaz Aslambhai Mistry,UDHNA,0,8th Pass,77000.0, 0,IND,"Rs 77,000 ~ 77 Thou+",1,0,0,0
702,Pathan Badshahkhan Altafkhan,UDHNA,0,12th Pass,225000.0, 0,Bharatiya Bahujan Congress,"Rs 2,25,000 ~ 2 Lacs+",1,0,0,0
703,Ashaben Vinodbhai Mangale,UDHNA,0,5th Pass,245000.0, 0,IND,"Rs 2,45,000 ~ 2 Lacs+",0,0,0,0
704,Shaikh Iqbal Hamid,UDHNA,1,Illiterate,298000.0, 0,IND,"Rs 2,98,000 ~ 2 Lacs+",1,1,0,0
705,Mohammad Baldar Shah,UDHNA,1,5th Pass,800000.0, 0,IND,"Rs 8,00,000 ~ 8 Lacs+",1,0,0,0
706,Mahendrabhai Ravanbhai Patil,UDHNA,1,Graduate,16814826.0, 1328054,AAP,"Rs 1,68,14,826 ~ 1 Crore+",1,1,1,1
707,Suresh Mohan Sonvane,UDHNA,0,10th Pass,17409000.0, 800000,BSP,"Rs 1,74,09,000 ~ 1 Crore+",1,0,1,0
708,Manubhai M. Patel (Fogwa),UDHNA,0,8th Pass,69179013.0, 251550,BJP,"Rs 6,91,79,013 ~ 6 Crore+",1,0,1,0
709,Dhansukhbhai Bhagvatiprasad Rajput,UDHNA,0,12th Pass,163389912.0, 330000,INC,"Rs 16,33,89,912 ~ 16 Crore+",1,0,1,0
710,Vaghat Ravindrabhai Somabhai,UMBERGAON (ST),0,10th Pass,30000.0, 0,Bhartiya Tribal Party,"Rs 30,000 ~ 30 Thou+",1,0,0,0
711,Bochal Hasmukhbhai Ramanbhai,UMBERGAON (ST),0,10th Pass,687063.0, 0,CPI(M),"Rs 6,87,063 ~ 6 Lacs+",1,0,0,0
712,Mohanbhai Raviyabhai Kohkeriya,UMBERGAON (ST),0,10th Pass,4611480.0, 30000,CPI(ML)(L),"Rs 46,11,480 ~ 46 Lacs+",1,0,0,0
713,Ashokbhai Mohanbhai Patel,UMBERGAON (ST),0,12th Pass,6840411.0, 0,AAP,"Rs 68,40,411 ~ 68 Lacs+",1,0,0,0
714,Nareshbhai Vajirbhai Vadvi,UMBERGAON (ST),0,10th Pass,15300000.0, 5300000,INC,"Rs 1,53,00,000 ~ 1 Crore+",1,0,1,0
715,Patkar Ramanlal Nanubhai,UMBERGAON (ST),0,8th Pass,32866468.0, 1500000,BJP,"Rs 3,28,66,468 ~ 3 Crore+",1,0,1,0
716,Panchabhai Damaniya,UNA,0,5th Pass,25000.0, 0,IND,"Rs 25,000 ~ 25 Thou+",1,0,0,0
717,Nilesh Khorashi,UNA,4,Graduate,50000.0, 255000,IND,"Rs 50,000 ~ 50 Thou+",1,1,0,1
718,Vansh Balubhai,UNA,0,5th Pass,160000.0, 0,IND,"Rs 1,60,000 ~ 1 Lacs+",1,0,0,0
719,Shantilal Kidecha,UNA,0,8th Pass,1030000.0, 50000,Rashtriya Samaj Dal (R),"Rs 10,30,000 ~ 10 Lacs+",1,0,0,0
720,Vala Bhanjibhai,UNA,0,8th Pass,1591000.0, 0,IND,"Rs 15,91,000 ~ 15 Lacs+",1,0,0,0
721,Gohil Mansinh,UNA,0,12th Pass,3392743.0, 496000,IND,"Rs 33,92,743 ~ 33 Lacs+",1,0,0,0
722,Ishwar Solanki,UNA,0,12th Pass,4509277.0, 835000,Right to Recall Party,"Rs 45,09,277 ~ 45 Lacs+",1,0,0,0
723,Sejalben Khunt,UNA,0,Post Graduate,15032665.0, 1745111,AAP,"Rs 1,50,32,665 ~ 1 Crore+",0,0,1,1
724,Vansh Punjabhai,UNA,0,12th Pass,37402796.0, 12396957,INC,"Rs 3,74,02,796 ~ 3 Crore+",1,0,1,0
725,Kalubhai Rathod,UNA,1,12th Pass,66739093.0, 16452595,BJP,"Rs 6,67,39,093 ~ 6 Crore+",1,1,1,0
726,Ilyas Yusuf Mansuri,VAGRA,1,5th Pass,61000.0, 0,Bhartiya Tribal Party,"Rs 61,000 ~ 61 Thou+",1,0,0,0
727,Gohil Chetanbhai Chhaganbhai,VAGRA,0,12th Pass,2561000.0, 70000,IND,"Rs 25,61,000 ~ 25 Lacs+",1,0,0,0
728,Ikbal Mohmedbhai Bhomli,VAGRA,0,5th Pass,2939000.0, 0,IND,"Rs 29,39,000 ~ 29 Lacs+",1,0,0,0
729,Jayendrasinh Laxmansinh Raj,VAGRA,1,12th Pass,3010816.0, 0,AAP,"Rs 30,10,816 ~ 30 Lacs+",1,1,0,0
