Candidate,Constituency,Criminal Case,Education,Assets,Liabilities,Party,Total Assets
Gurav Kamleshbhai Shravanbhai,KAPRADA (ST),0,8th Pass,199256, 0,CPI(ML)(L),"Rs 1,99,256 ~ 1 Lacs+"
Gaurangkumar Rameshbhai Patel,KAPRADA (ST),0,12th Pass,250000, 0,IND,"Rs 2,50,000 ~ 2 Lacs+"
Vaichandbhai Lallubhai Patel,KAPRADA (ST),0,Post Graduate,462383, 0,BSP,"Rs 4,62,383 ~ 4 Lacs+"
Subhashbhai Radkabhai Patel,KAPRADA (ST),0,10th Pass,3378000, 700000,Rashtriya Samaj Paksha,"Rs 33,78,000 ~ 33 Lacs+"
Vasantbhai Barjulbhai Patel,KAPRADA (ST),2,Graduate Professional,13913960, 2803100,INC,"Rs 1,39,13,960 ~ 1 Crore+"
Jitubhai Harjibhai Chaudhari,KAPRADA (ST),1,8th Pass,19335482, 457000,BJP,"Rs 1,93,35,482 ~ 1 Crore+"
Anwar Hamid Shaikh,KARANJ,0,5th Pass,52000, 0,IND,"Rs 52,000 ~ 52 Thou+"
Ladumor Maheshbhai Kababhai (Ahir),KARANJ,0,Graduate,83100, 0,Right to Recall Party,"Rs 83,100 ~ 83 Thou+"
Arunbhai Mansukhlal Parmar,KARANJ,1,8th Pass,300000, 0,IND,"Rs 3,00,000 ~ 3 Lacs+"
Vaghela Dinesh,KARANJ,0,Literate,585000, 775000,National Maha Sabha Party,"Rs 5,85,000 ~ 5 Lacs+"
Rameshbhai Parshotambhai Baraiya,KARANJ,0,5th Pass,1416500, 571734,IND,"Rs 14,16,500 ~ 14 Lacs+"
Pravinbhai Manjibhai Ghoghari,KARANJ,1,12th Pass,22300638, 5448166,BJP,"Rs 2,23,00,638 ~ 2 Crore+"
Manoj Sorathiya,KARANJ,1,Others,23474811, 6031749,AAP,"Rs 2,34,74,811 ~ 2 Crore+"
Bharti Prakashbhai Patel,KARANJ,3,Graduate,168403315, 0,INC,"Rs 16,84,03,315 ~ 16 Crore+"
Bapubhai Nanabhai Khalane,KATARGAM,1,10th Pass,72000, 318637,IND,"Rs 72,000 ~ 72 Thou+"
Akbar Liyakat Shahfakir,KATARGAM,0,Illiterate,115000, 0,IND,"Rs 1,15,000 ~ 1 Lacs+"
Kalpesh Harjivanbhai Variya,KATARGAM,0,12th Pass,751712, 661913,INC,"Rs 7,51,712 ~ 7 Lacs+"
Gopalbhai Gordhanbhai Italia,KATARGAM,19,Graduate,1015079, 0,AAP,"Rs 10,15,079 ~ 10 Lacs+"
Rajubhai Lakhabhai Sarakar,KATARGAM,0,Literate,1968200, 700000,IND,"Rs 19,68,200 ~ 19 Lacs+"
Amitkumar Bikaram Singh,KATARGAM,0,10th Pass,2082162, 1752000,BSP,"Rs 20,82,162 ~ 20 Lacs+"
Amarkumar Sureshbhai Lavne,KATARGAM,0,12th Pass,3970406, 1965425,Sarvodaya Bharat Party,"Rs 39,70,406 ~ 39 Lacs+"
Vinodbhai Amarshibhai Moradiya,KATARGAM,0,10th Pass,52194368, 6041990,BJP,"Rs 5,21,94,368 ~ 5 Crore+"
Antroliya Dhanabhai Munabhai,KESHOD,0,8th Pass,30000, 0,Vyavastha Parivartan Party,"Rs 30,000 ~ 30 Thou+"
Chudasama Ramajibhai Babubhai,KESHOD,1,12th Pass,676000, 0,AAP,"Rs 6,76,000 ~ 6 Lacs+"
Alpeshkumar Chandulal Trambadiya,KESHOD,0,Graduate Professional,1443196, 76546,IND,"Rs 14,43,196 ~ 14 Lacs+"
Arvindbhai Keshavbhai Ladani,KESHOD,0,10th Pass,23733196, 19510910,IND,"Rs 2,37,33,196 ~ 2 Crore+"
Dedaniya Lalitkumar Laljibhai,KESHOD,1,10th Pass,29481000, 2161000,IND,"Rs 2,94,81,000 ~ 2 Crore+"
Devabhai Punjabhai Malam,KESHOD,0,Literate,45569640, 0,BJP,"Rs 4,55,69,640 ~ 4 Crore+"
Hirabhai Arjanbhai Jotva,KESHOD,2,Graduate,78229777, 10467412,INC,"Rs 7,82,29,777 ~ 7 Crore+"
